HeroID,Group,Game Date,Adj MMR Before
8,Warrior,2016-01-20,2070.471392986337
8,Warrior,2016-01-21,2080.8984099460467
8,Warrior,2016-01-22,2058.2731450812585
8,Warrior,2016-01-23,2067.5484283331803
8,Warrior,2016-01-24,2084.850686332633
9,Assassin,2015-12-30,2075.980746122766
9,Assassin,2015-12-31,2081.9894982217606
9,Assassin,2016-01-01,2088.8660398299176
9,Assassin,2016-01-02,2097.825639017944
9,Assassin,2016-01-03,2096.4685449494145
9,Assassin,2016-01-04,2106.987763264871
9,Assassin,2016-01-05,2157.2511181967816
9,Assassin,2016-01-06,2159.2096720402433
9,Assassin,2016-01-07,2164.3396321261903
9,Assassin,2016-01-08,2173.708238043965
9,Assassin,2016-01-09,2158.3973762267137
9,Assassin,2016-01-10,2168.5919168255064
9,Assassin,2016-01-11,2195.8987199583703
9,Assassin,2016-01-12,2199.9588782601136
9,Assassin,2016-01-13,2188.4408124805677
9,Assassin,2016-01-14,2195.4553247004906
9,Assassin,2016-01-15,2176.2057590757863
9,Assassin,2016-01-16,2152.709657838519
9,Assassin,2016-01-17,2179.132059290552
9,Assassin,2016-01-18,2189.946995768768
9,Assassin,2016-01-19,2122.6431263353675
9,Assassin,2016-01-20,2127.0224800132546
9,Assassin,2016-01-21,2133.025634811455
9,Assassin,2016-01-22,2117.6617254745615
9,Assassin,2016-01-23,2129.102909396659
9,Assassin,2016-01-24,2173.967986164593
10,Specialist,2015-12-30,1972.4622184802126
10,Specialist,2015-12-31,1993.9625468760753
10,Specialist,2016-01-01,1998.3580692704866
10,Specialist,2016-01-02,1995.7736879124432
10,Specialist,2016-01-03,1989.9622622416746
10,Specialist,2016-01-04,1992.8418969668699
10,Specialist,2016-01-05,2000.9687318892627
10,Specialist,2016-01-06,2006.012005821454
10,Specialist,2016-01-07,2004.9882597506257
10,Specialist,2016-01-08,2004.2042973244545
10,Specialist,2016-01-09,1996.1662362034517
10,Specialist,2016-01-10,1986.3172187190507
10,Specialist,2016-01-11,2013.9951028197163
10,Specialist,2016-01-12,2013.139063236208
10,Specialist,2016-01-13,2013.2560229286776
10,Specialist,2016-01-14,2016.2390069241026
10,Specialist,2016-01-15,1999.6609743904526
10,Specialist,2016-01-16,2006.376339579937
10,Specialist,2016-01-17,2005.8198465052953
10,Specialist,2016-01-18,1996.608986996219
10,Specialist,2016-01-19,2014.8089353379144
10,Specialist,2016-01-20,2028.222860599747
10,Specialist,2016-01-21,2043.4270027573064
10,Specialist,2016-01-22,2017.4385613813556
10,Specialist,2016-01-23,2035.9284525213563
10,Specialist,2016-01-24,2034.8851022740355
11,Assassin,2015-12-30,2001.594945195781
11,Assassin,2015-12-31,2022.993614101301
11,Assassin,2016-01-01,2020.0202658016196
11,Assassin,2016-01-02,2021.9058517912083
11,Assassin,2016-01-03,2026.2147835356047
11,Assassin,2016-01-04,2024.2742704862603
11,Assassin,2016-01-05,2055.3728562931547
11,Assassin,2016-01-06,2046.5137552164801
11,Assassin,2016-01-07,2057.1984475359486
11,Assassin,2016-01-08,2048.809639649523
11,Assassin,2016-01-09,2043.9381009389037
11,Assassin,2016-01-10,2045.8481957311901
11,Assassin,2016-01-11,2055.0224686471292
11,Assassin,2016-01-12,2058.355729213741
11,Assassin,2016-01-13,2078.563116298305
11,Assassin,2016-01-14,2050.907973766589
11,Assassin,2016-01-15,2031.0764209871859
11,Assassin,2016-01-16,2028.4781618894501
11,Assassin,2016-01-17,2042.3682131613693
11,Assassin,2016-01-18,2040.5708619651782
11,Assassin,2016-01-19,2046.2494641027392
11,Assassin,2016-01-20,2057.2159359730035
11,Assassin,2016-01-21,2074.3638574725314
11,Assassin,2016-01-22,2063.554448105585
11,Assassin,2016-01-23,2068.4122145359383
11,Assassin,2016-01-24,2091.50793533376
12,Assassin,2015-12-30,1970.7754176269912
12,Assassin,2015-12-31,1984.8870524834551
12,Assassin,2016-01-01,1989.8826334142902
12,Assassin,2016-01-02,1989.0018478042305
12,Assassin,2016-01-03,1986.8315255005164
12,Assassin,2016-01-04,1991.391110995384
12,Assassin,2016-01-05,2035.3410712499415
12,Assassin,2016-01-06,2040.2418645529049
12,Assassin,2016-01-07,2036.8247370579218
12,Assassin,2016-01-08,2032.9030771285686
12,Assassin,2016-01-09,2019.4538371068868
12,Assassin,2016-01-10,2030.770713278468
12,Assassin,2016-01-11,2045.1879911955216
12,Assassin,2016-01-12,2049.4813767648993
12,Assassin,2016-01-13,2048.307998330941
12,Assassin,2016-01-14,2060.875948073244
12,Assassin,2016-01-15,2030.651418520902
12,Assassin,2016-01-16,2019.067851738567
12,Assassin,2016-01-17,2042.529982350675
12,Assassin,2016-01-18,2067.3407993429255
12,Assassin,2016-01-19,2070.5723297435866
12,Assassin,2016-01-20,2077.3757249731398
12,Assassin,2016-01-21,2073.171505343787
12,Assassin,2016-01-22,2066.355854508641
12,Assassin,2016-01-23,2079.694185782991
12,Assassin,2016-01-24,2109.103465527939
13,Warrior,2015-12-30,1958.3591527866581
13,Warrior,2015-12-31,1998.121973014946
13,Warrior,2016-01-01,2002.3287191474417
13,Warrior,2016-01-02,1995.1366390900955
13,Warrior,2016-01-03,1992.8077897531964
13,Warrior,2016-01-04,2004.7206320235457
13,Warrior,2016-01-05,2028.6291219481507
13,Warrior,2016-01-06,2022.0877357281352
13,Warrior,2016-01-07,2028.214933795396
13,Warrior,2016-01-08,2016.1594221611278
13,Warrior,2016-01-09,2012.8914860027787
13,Warrior,2016-01-10,2018.4561885517865
13,Warrior,2016-01-11,2035.0135078448411
13,Warrior,2016-01-12,2049.986854891867
13,Warrior,2016-01-13,2058.6121756943503
13,Warrior,2016-01-14,2050.0461809577255
13,Warrior,2016-01-15,2018.3242229009093
13,Warrior,2016-01-16,2011.3436674320787
13,Warrior,2016-01-17,2023.7584421419028
13,Warrior,2016-01-18,2057.4827352748066
13,Warrior,2016-01-19,2058.008179832894
13,Warrior,2016-01-20,2075.019344118073
13,Warrior,2016-01-21,2076.1666760512803
13,Warrior,2016-01-22,2071.354499189492
13,Warrior,2016-01-23,2069.9271477718044
13,Warrior,2016-01-24,2111.241959397806
14,Assassin,2015-12-30,2146.252244905263
14,Assassin,2015-12-31,2160.9470741767623
14,Assassin,2016-01-01,2164.7203868509887
14,Assassin,2016-01-02,2166.297770394615
14,Assassin,2016-01-03,2165.7417350502674
14,Assassin,2016-01-04,2174.011552834482
14,Assassin,2016-01-05,2184.2387281729093
14,Assassin,2016-01-06,2185.048783249503
14,Assassin,2016-01-07,2187.2391609446304
14,Assassin,2016-01-08,2179.296324269689
14,Assassin,2016-01-09,2171.9085345580474
14,Assassin,2016-01-10,2177.408328178478
14,Assassin,2016-01-11,2187.745782305731
14,Assassin,2016-01-12,2151.98401833803
14,Assassin,2016-01-13,2161.345027899957
14,Assassin,2016-01-14,2162.5078041612765
14,Assassin,2016-01-15,2150.8232595772033
14,Assassin,2016-01-16,2137.217225601805
14,Assassin,2016-01-17,2154.662825978929
14,Assassin,2016-01-18,2169.031785931249
14,Assassin,2016-01-19,2220.4577288236164
14,Assassin,2016-01-20,2232.8335167571613
14,Assassin,2016-01-21,2224.5928277717653
14,Assassin,2016-01-22,2221.153317595159
14,Assassin,2016-01-23,2227.3254941136906
14,Assassin,2016-01-24,2273.9978233572133
15,Assassin,2015-12-30,2032.7265880281273
15,Assassin,2015-12-31,2059.4749462694763
15,Assassin,2016-01-01,2049.3839729370757
15,Assassin,2016-01-02,2036.9414703703783
15,Assassin,2016-01-03,2050.126558580679
15,Assassin,2016-01-04,2057.071210322834
15,Assassin,2016-01-05,2056.5894803804213
15,Assassin,2016-01-06,2043.058817220759
15,Assassin,2016-01-07,2069.5965835593865
15,Assassin,2016-01-08,2063.1338414315233
15,Assassin,2016-01-09,2057.665745847937
15,Assassin,2016-01-10,2056.3439531324652
15,Assassin,2016-01-11,2073.8293019438815
15,Assassin,2016-01-12,2085.0878538070892
15,Assassin,2016-01-13,2080.0414940397627
15,Assassin,2016-01-14,2088.77340294001
15,Assassin,2016-01-15,2063.564800842243
15,Assassin,2016-01-16,2044.992681233911
15,Assassin,2016-01-17,2064.55379040358
15,Assassin,2016-01-18,2084.107652841893
15,Assassin,2016-01-19,2092.517955460395
15,Assassin,2016-01-20,2091.9556283685874
15,Assassin,2016-01-21,2076.3461454971152
15,Assassin,2016-01-22,2088.944833830094
15,Assassin,2016-01-23,2081.3997991579786
15,Assassin,2016-01-24,2144.0450400585723
16,Support,2015-12-30,2051.955328530846
16,Support,2015-12-31,2086.3957144983983
16,Support,2016-01-01,2095.0486343564808
16,Support,2016-01-02,2089.5643468419025
16,Support,2016-01-03,2088.8222493785497
16,Support,2016-01-04,2096.372716742622
16,Support,2016-01-05,2100.1673497209413
16,Support,2016-01-06,2118.942162648919
16,Support,2016-01-07,2110.6401286080954
16,Support,2016-01-08,2109.026412299711
16,Support,2016-01-09,2100.170259096268
16,Support,2016-01-10,2098.411394544554
16,Support,2016-01-11,2122.2520946870513
16,Support,2016-01-12,2139.9959409889652
16,Support,2016-01-13,2152.964200890632
16,Support,2016-01-14,2143.8801578843018
16,Support,2016-01-15,2117.112302586981
16,Support,2016-01-16,2102.4904746706493
16,Support,2016-01-17,2116.240501340028
16,Support,2016-01-18,2126.2637232838956
16,Support,2016-01-19,2093.0008887850195
16,Support,2016-01-20,2096.8214669004146
16,Support,2016-01-21,2092.7279662163596
16,Support,2016-01-22,2076.5677482039273
16,Support,2016-01-23,2082.864346321218
16,Support,2016-01-24,2135.097890581174
17,Warrior,2015-12-30,2051.551437593337
17,Warrior,2015-12-31,2065.8900692515153
17,Warrior,2016-01-01,2085.24116565525
17,Warrior,2016-01-02,2092.1272205089426
17,Warrior,2016-01-03,2099.2126446586612
17,Warrior,2016-01-04,2113.102486968326
17,Warrior,2016-01-05,2090.228936435951
