,x,Before,Adjusted
163,-154.72017837235217,161,161
164,-146.71237458193968,158,158
165,-138.7045707915272,163,163
166,-130.69676700111472,148,148
167,-122.68896321070224,176,176
168,-114.68115942028976,178,178
169,-106.67335562987728,193,193
170,-98.6655518394648,221,221
171,-90.65774804905232,224,224
172,-82.64994425863983,227,227
173,-74.64214046822735,254,254
174,-66.63433667781487,242,242
175,-58.62653288740239,254,254
176,-50.61872909698991,249,249
177,-42.61092530657743,286,286
178,-34.60312151616495,293,293
179,-26.595317725752466,305,305
180,-18.587513935339985,322,322
181,-10.579710144927503,306,306
182,-2.571906354515022,340,340
183,5.435897435897459,375,375
184,13.44370122630994,371,371
185,21.45150501672242,376,376
186,29.459308807134903,369,369
187,37.467112597547384,398,398
188,45.474916387959865,429,429
189,53.48272017837235,411,411
190,61.49052396878483,447,447
191,69.49832775919731,481,481
192,77.50613154961002,497,497
193,85.5139353400225,527,527
194,93.52173913043498,564,564
195,101.52954292084746,602,602
196,109.53734671125994,571,571
197,117.54515050167242,623,623
198,125.5529542920849,647,647
199,133.5607580824974,732,732
200,141.56856187290987,709,709
201,149.57636566332235,701,701
202,157.58416945373483,805,805
203,165.5919732441473,800,800
204,173.5997770345598,870,870
205,181.60758082497227,850,850
206,189.61538461538476,927,927
207,197.62318840579724,948,948
208,205.63099219620972,961,961
209,213.6387959866222,959,959
210,221.64659977703468,1052,1052
211,229.65440356744716,1060,1060
212,237.66220735785964,1095,1095
213,245.67001114827212,1070,1070
214,253.6778149386846,1179,1179
215,261.6856187290971,1155,1155
216,269.69342251950957,1181,1181
217,277.70122630992205,1308,1308
218,285.70903010033453,1417,1417
219,293.716833890747,1446,1447
220,301.7246376811595,1520,1520
221,309.732441471572,1563,1563
222,317.74024526198446,1654,1654
223,325.74804905239694,1666,1666
224,333.7558528428094,1685,1685
225,341.7636566332219,1735,1736
226,349.7714604236344,1809,1810
227,357.77926421404686,1988,1988
228,365.78706800445934,1925,1925
229,373.7948717948718,1991,1993
230,381.8026755852843,2204,2205
231,389.8104793756968,2182,2182
232,397.81828316610927,2359,2359
233,405.82608695652175,2412,2413
234,413.83389074693446,2332,2336
235,421.84169453734694,2426,2427
236,429.8494983277594,2532,2532
237,437.8573021181719,2570,2576
238,445.8651059085844,2735,2735
239,453.87290969899686,2771,2773
240,461.88071348940935,2790,2792
241,469.8885172798218,2917,2921
242,477.8963210702343,2958,2963
243,485.9041248606468,3045,3046
244,493.91192865105927,3180,3185
245,501.91973244147175,3324,3326
246,509.92753623188423,3466,3468
247,517.9353400222967,3566,3569
248,525.9431438127092,3628,3633
249,533.9509476031217,3774,3779
250,541.9587513935342,3847,3850
251,549.9665551839466,4028,4034
252,557.9743589743591,4095,4106
253,565.9821627647716,4270,4274
254,573.9899665551841,4241,4252
255,581.9977703455966,4377,4385
256,590.0055741360093,5220,5227
257,598.0133779264215,4763,4779
258,606.0211817168342,4889,4901
259,614.0289855072465,5031,5040
260,622.0367892976592,5216,5232
261,630.0445930880715,5385,5402
262,638.0523968784842,5459,5472
263,646.0602006688964,5616,5635
264,654.0680044593091,5984,5998
265,662.0758082497214,5977,5998
266,670.0836120401341,6244,6270
267,678.0914158305463,6635,6660
268,686.099219620959,6824,6845
269,694.1070234113713,6860,6883
270,702.114827201784,7056,7084
271,710.1226309921963,7259,7290
272,718.130434782609,7625,7669
273,726.1382385730212,7393,7424
274,734.1460423634339,7839,7875
275,742.1538461538462,8156,8192
276,750.1616499442589,8236,8278
277,758.1694537346712,8418,8443
278,766.1772575250839,8782,8836
279,774.1850613154961,8913,8968
280,782.1928651059088,9182,9231
281,790.2006688963211,9318,9370
282,798.2084726867338,9664,9723
283,806.216276477146,9712,9769
284,814.2240802675587,10167,10222
285,822.231884057971,10654,10709
286,830.2396878483837,10790,10859
287,838.247491638796,10932,10997
288,846.2552954292087,11428,11492
289,854.2630992196209,11723,11792
290,862.2709030100336,12243,12319
291,870.2787068004459,12758,12853
292,878.2865105908586,12559,12633
293,886.2943143812709,13197,13260
294,894.3021181716836,13368,13455
295,902.3099219620958,13811,13893
296,910.3177257525085,14327,14430
297,918.3255295429208,14544,14630
298,926.3333333333335,14879,14990
299,934.3411371237462,15135,15240
300,942.3489409141584,15392,15518
301,950.3567447045712,16116,16232
302,958.3645484949834,16146,16264
303,966.3723522853961,16772,16892
304,974.3801560758084,17079,17182
305,982.3879598662211,17305,17430
306,990.3957636566333,17945,18090
307,998.403567447046,18250,18391
308,1006.4113712374583,18747,18901
309,1014.419175027871,19143,19319
310,1022.4269788182833,19873,20045
311,1030.434782608696,20143,20355
312,1038.4425863991082,20749,20937
313,1046.450390189521,21324,21508
314,1054.4581939799332,21715,21920
