PrimaryName,Group,SubGroup,Game Date,Is Winner
Brightwing,Support,Healer,2016-01-07,0.46070670013516124
Brightwing,Support,Healer,2016-01-08,0.4553701015965167
Brightwing,Support,Healer,2016-01-09,0.4551922751143486
Brightwing,Support,Healer,2016-01-10,0.4560810810810811
Brightwing,Support,Healer,2016-01-11,0.4614967462039046
Brightwing,Support,Healer,2016-01-12,0.4511426319936958
Brightwing,Support,Healer,2016-01-13,0.44498724024790376
Brightwing,Support,Healer,2016-01-14,0.45137997432605903
Brightwing,Support,Healer,2016-01-15,0.4472931927818474
Brightwing,Support,Healer,2016-01-16,0.45265151515151514
Brightwing,Support,Healer,2016-01-17,0.4531032563317562
Brightwing,Support,Healer,2016-01-18,0.4426136363636364
Brightwing,Support,Healer,2016-01-19,0.4546282245827011
Brightwing,Support,Healer,2016-01-20,0.49177820267686423
Brightwing,Support,Healer,2016-01-21,0.5057774428535544
Brightwing,Support,Healer,2016-01-22,0.5269360269360269
Brightwing,Support,Healer,2016-01-23,0.5121191135734072
Brightwing,Support,Healer,2016-01-24,0.5304777594728172
Chen,Warrior,Tank,2015-12-30,0.5011005135730008
Chen,Warrior,Tank,2015-12-31,0.5007760962359332
Chen,Warrior,Tank,2016-01-01,0.4951323395193185
Chen,Warrior,Tank,2016-01-02,0.4889961664063609
Chen,Warrior,Tank,2016-01-03,0.5118978525827046
Chen,Warrior,Tank,2016-01-04,0.49631243714381496
Chen,Warrior,Tank,2016-01-05,0.5093995254608505
Chen,Warrior,Tank,2016-01-06,0.5020949720670391
Chen,Warrior,Tank,2016-01-07,0.5016421780466724
Chen,Warrior,Tank,2016-01-08,0.494258872651357
Chen,Warrior,Tank,2016-01-09,0.5017833981841764
Chen,Warrior,Tank,2016-01-10,0.48361661117925353
Chen,Warrior,Tank,2016-01-11,0.4962025316455696
Chen,Warrior,Tank,2016-01-12,0.4958625079567155
Chen,Warrior,Tank,2016-01-13,0.4982555604012211
Chen,Warrior,Tank,2016-01-14,0.4947392497712717
Chen,Warrior,Tank,2016-01-15,0.48282097649186256
Chen,Warrior,Tank,2016-01-16,0.4822168885009819
Chen,Warrior,Tank,2016-01-17,0.4825174825174825
Chen,Warrior,Tank,2016-01-18,0.49487967229902713
Chen,Warrior,Tank,2016-01-19,0.4996907854050711
Chen,Warrior,Tank,2016-01-20,0.4931119745672907
Chen,Warrior,Tank,2016-01-21,0.4875663593182453
Chen,Warrior,Tank,2016-01-22,0.47511685455045366
Chen,Warrior,Tank,2016-01-23,0.5009878633926051
Chen,Warrior,Tank,2016-01-24,0.4802395209580838
Cho,Warrior,Tank,2015-12-30,0.4429081177520071
Cho,Warrior,Tank,2015-12-31,0.43530330643061704
Cho,Warrior,Tank,2016-01-01,0.4396252602359473
Cho,Warrior,Tank,2016-01-02,0.43389886074911893
Cho,Warrior,Tank,2016-01-03,0.43435966086568495
Cho,Warrior,Tank,2016-01-04,0.42772298228868383
Cho,Warrior,Tank,2016-01-05,0.4200619490111985
Cho,Warrior,Tank,2016-01-06,0.42785489326956727
Cho,Warrior,Tank,2016-01-07,0.4250564602401046
Cho,Warrior,Tank,2016-01-08,0.42046041085991537
Cho,Warrior,Tank,2016-01-09,0.4208791208791209
Cho,Warrior,Tank,2016-01-10,0.42030556924593393
Cho,Warrior,Tank,2016-01-11,0.4145805348638417
Cho,Warrior,Tank,2016-01-12,0.43747150888922653
Cho,Warrior,Tank,2016-01-13,0.4414944054617865
Cho,Warrior,Tank,2016-01-14,0.4550842748657159
Cho,Warrior,Tank,2016-01-15,0.4363833243096914
Cho,Warrior,Tank,2016-01-16,0.44734151329243355
Cho,Warrior,Tank,2016-01-17,0.4625937442838851
Cho,Warrior,Tank,2016-01-18,0.44252044252044254
Cho,Warrior,Tank,2016-01-19,0.46955223880597013
Cho,Warrior,Tank,2016-01-20,0.45534458509142056
Cho,Warrior,Tank,2016-01-21,0.4416575790621592
Cho,Warrior,Tank,2016-01-22,0.4566715903495815
Cho,Warrior,Tank,2016-01-23,0.44902439024390245
Cho,Warrior,Tank,2016-01-24,0.4242021276595745
Diablo,Warrior,Tank,2015-12-30,0.5643688451208595
Diablo,Warrior,Tank,2015-12-31,0.5584508384146342
Diablo,Warrior,Tank,2016-01-01,0.5562474055624741
Diablo,Warrior,Tank,2016-01-02,0.5590730459734264
Diablo,Warrior,Tank,2016-01-03,0.5595570474009474
Diablo,Warrior,Tank,2016-01-04,0.5612096539691771
Diablo,Warrior,Tank,2016-01-05,0.5672071231385357
Diablo,Warrior,Tank,2016-01-06,0.561301212214209
Diablo,Warrior,Tank,2016-01-07,0.5600659306961054
Diablo,Warrior,Tank,2016-01-08,0.5605764356579043
Diablo,Warrior,Tank,2016-01-09,0.5623805443880577
Diablo,Warrior,Tank,2016-01-10,0.5681735265828662
Diablo,Warrior,Tank,2016-01-11,0.5613301626265725
Diablo,Warrior,Tank,2016-01-12,0.5524519489850908
Diablo,Warrior,Tank,2016-01-13,0.5572595536915902
Diablo,Warrior,Tank,2016-01-14,0.555181717187748
Diablo,Warrior,Tank,2016-01-15,0.553373413493654
Diablo,Warrior,Tank,2016-01-16,0.5582757296466974
Diablo,Warrior,Tank,2016-01-17,0.5564652457820942
Diablo,Warrior,Tank,2016-01-18,0.5590165844564415
Diablo,Warrior,Tank,2016-01-19,0.5663841014989053
Diablo,Warrior,Tank,2016-01-20,0.5634076763485477
Diablo,Warrior,Tank,2016-01-21,0.5730433293372152
Diablo,Warrior,Tank,2016-01-22,0.5667042889390519
Diablo,Warrior,Tank,2016-01-23,0.5630589833578625
Diablo,Warrior,Tank,2016-01-24,0.5573727248747032
E.T.C.,Warrior,Tank,2015-12-30,0.4797021378813356
E.T.C.,Warrior,Tank,2015-12-31,0.4769322590271561
E.T.C.,Warrior,Tank,2016-01-01,0.4835707419383029
E.T.C.,Warrior,Tank,2016-01-02,0.4845537757437071
E.T.C.,Warrior,Tank,2016-01-03,0.48268362054542413
E.T.C.,Warrior,Tank,2016-01-04,0.48207152139384896
E.T.C.,Warrior,Tank,2016-01-05,0.4845018214354189
E.T.C.,Warrior,Tank,2016-01-06,0.48626237623762375
E.T.C.,Warrior,Tank,2016-01-07,0.4852967815953143
E.T.C.,Warrior,Tank,2016-01-08,0.48012033978291646
E.T.C.,Warrior,Tank,2016-01-09,0.47778273975661495
E.T.C.,Warrior,Tank,2016-01-10,0.4847625797306875
E.T.C.,Warrior,Tank,2016-01-11,0.48615740425821374
E.T.C.,Warrior,Tank,2016-01-12,0.5029913582982495
E.T.C.,Warrior,Tank,2016-01-13,0.4983520105471325
E.T.C.,Warrior,Tank,2016-01-14,0.49500217296827465
E.T.C.,Warrior,Tank,2016-01-15,0.49660326086956524
E.T.C.,Warrior,Tank,2016-01-16,0.4868935553946416
E.T.C.,Warrior,Tank,2016-01-17,0.4828205704019762
E.T.C.,Warrior,Tank,2016-01-18,0.4870068203401537
E.T.C.,Warrior,Tank,2016-01-19,0.4872899612236105
E.T.C.,Warrior,Tank,2016-01-20,0.4893241919686582
E.T.C.,Warrior,Tank,2016-01-21,0.47942653491009235
E.T.C.,Warrior,Tank,2016-01-22,0.4846951472418084
E.T.C.,Warrior,Tank,2016-01-23,0.4805516557932117
E.T.C.,Warrior,Tank,2016-01-24,0.49014404852160726
Falstad,Assassin,Sustained Damage,2015-12-30,0.47218958088523305
Falstad,Assassin,Sustained Damage,2015-12-31,0.47297297297297297
Falstad,Assassin,Sustained Damage,2016-01-01,0.47078934515535187
Falstad,Assassin,Sustained Damage,2016-01-02,0.46956932239087806
Falstad,Assassin,Sustained Damage,2016-01-03,0.47164649001161874
Falstad,Assassin,Sustained Damage,2016-01-04,0.4700205249137517
Falstad,Assassin,Sustained Damage,2016-01-05,0.4726251754796444
Falstad,Assassin,Sustained Damage,2016-01-06,0.4736555797326702
Falstad,Assassin,Sustained Damage,2016-01-07,0.4758686491214121
Falstad,Assassin,Sustained Damage,2016-01-08,0.4785015545613104
Falstad,Assassin,Sustained Damage,2016-01-09,0.4761220825852783
Falstad,Assassin,Sustained Damage,2016-01-10,0.472010811579771
Falstad,Assassin,Sustained Damage,2016-01-11,0.4754720025818945
Falstad,Assassin,Sustained Damage,2016-01-12,0.4797210497338961
Falstad,Assassin,Sustained Damage,2016-01-13,0.48124191461837
Falstad,Assassin,Sustained Damage,2016-01-14,0.4777940458760371
